node_id,x_coord,y_coord,macro_node_id,macro_link_id,in_out,layer_id,split,parent_node_id,node_type,modes,geometry,name,osm_node_id,ctrl_type,is_boundary,activity_type,poi_id,zone_id,notes
0,139.6462426438938,35.698356908324335,105,170,out,0,,105,intersection_out,vehicle,POINT (139.6462426438938 35.698356908324335),,440092128,,0.0,residential,,,
1,139.64624072748586,35.69835682614187,105,170,in,0,,105,intersection_in,vehicle,POINT (139.64624072748586 35.69835682614187),,440092128,,0.0,residential,,,
2,139.64624000665836,35.69836566171624,105,206,out,0,,105,intersection_out,vehicle,POINT (139.64624000665836 35.69836566171624),,440092128,,0.0,residential,,,
3,139.6462419195176,35.69836578739979,105,206,in,0,,105,intersection_in,vehicle,POINT (139.6462419195176 35.69836578739979),,440092128,,0.0,residential,,,
4,139.6462711561161,35.6978846916765,106,170,out,0,,106,intersection_out,vehicle,POINT (139.6462711561161 35.6978846916765),,440090897,,0.0,residential,,,
5,139.6462730725128,35.69788477385825,106,170,in,0,,106,intersection_in,vehicle,POINT (139.6462730725128 35.69788477385825),,440090897,,0.0,residential,,,
6,139.64627427326877,35.69787605955189,106,176,out,0,,106,intersection_out,vehicle,POINT (139.64627427326877 35.69787605955189),,440090897,,0.0,residential,,,
7,139.64627238232413,35.69787579265729,106,176,in,0,,106,intersection_in,vehicle,POINT (139.64627238232413 35.69787579265729),,440090897,,0.0,residential,,,
8,139.64627892673244,35.69784494044825,112,176,out,0,,112,intersection_out,vehicle,POINT (139.64627892673244 35.69784494044825),,440090900,signal,0.0,residential,,,
9,139.6462808176764,35.69784520734274,112,176,in,0,,112,intersection_in,vehicle,POINT (139.6462808176764 35.69784520734274),,440090900,signal,0.0,residential,,,
10,139.64627531254146,35.697841229104746,112,18014,in,0,,112,intersection_in,vehicle,POINT (139.64627531254146 35.697841229104746),,440090900,signal,0.0,residential,,,
11,139.64628622896845,35.69784153952736,112,18018,out,0,,112,intersection_out,vehicle,POINT (139.64628622896845 35.69784153952736),,440090900,signal,0.0,residential,,,
12,139.645205911272,35.69926041275884,113,187,out,0,,113,intersection_out,vehicle,POINT (139.645205911272 35.69926041275884),,440091208,,0.0,residential,,,
13,139.64520596764862,35.69925884804356,113,187,in,0,,113,intersection_in,vehicle,POINT (139.64520596764862 35.69925884804356),,440091208,,0.0,residential,,,
14,139.6451996898395,35.699263958655024,113,268,out,0,,113,intersection_out,vehicle,POINT (139.6451996898395 35.699263958655024),,440091208,,0.0,residential,,,
15,139.64520160819544,35.699263915788656,113,268,in,0,,113,intersection_in,vehicle,POINT (139.64520160819544 35.699263915788656),,440091208,,0.0,residential,,,
16,139.64520136344672,35.69925504800415,113,259,out,0,,113,intersection_out,vehicle,POINT (139.64520136344672 35.69925504800415),,440091208,,0.0,residential,,,
17,139.6451994446696,35.69925507560278,113,259,in,0,,113,intersection_in,vehicle,POINT (139.6451994446696 35.69925507560278),,440091208,,0.0,residential,,,
18,139.64534108872598,35.69926208724745,114,187,out,0,,114,intersection_out,vehicle,POINT (139.64534108872598 35.69926208724745),,440091229,,0.0,residential,,,
19,139.64534103235198,35.69926365196285,114,187,in,0,,114,intersection_in,vehicle,POINT (139.64534103235198 35.69926365196285),,440091229,,0.0,residential,,,
20,139.6453455404622,35.69926743888665,114,193,out,0,,114,intersection_out,vehicle,POINT (139.6453455404622 35.69926743888665),,440091229,,0.0,residential,,,
21,139.64534745953796,35.69926743888662,114,193,in,0,,114,intersection_in,vehicle,POINT (139.64534745953796 35.69926743888662),,440091229,,0.0,residential,,,
22,139.64534792577192,35.699258645261075,114,191,out,0,,114,intersection_out,vehicle,POINT (139.64534792577192 35.699258645261075),,440091229,,0.0,residential,,,
23,139.6453460138618,35.69925851011356,114,191,in,0,,114,intersection_in,vehicle,POINT (139.6453460138618 35.69925851011356),,440091229,,0.0,residential,,,
24,139.6453474595398,35.69942296111349,115,189,out,0,,115,intersection_out,vehicle,POINT (139.6453474595398 35.69942296111349),,440091330,,2.0,residential,,115.0,
25,139.6453455404603,35.69942296111348,115,189,in,0,,115,intersection_in,vehicle,POINT (139.6453455404603 35.69942296111348),,440091330,,2.0,residential,,115.0,
26,139.64534554046108,35.69935953888657,116,189,out,0,,116,intersection_out,vehicle,POINT (139.64534554046108 35.69935953888657),,1173913808,,0.0,residential,,,
